net,length_um
net1359,33.8µm
_1624_,33.72µm
_0963_,33.715µm
_0962_,33.62µm
_1444_,33.615µm
_1001_,33.6µm
net1451,33.59µm
_1517_,33.56µm
_1961_,33.54µm
net1533,33.515µm
_1350_,33.445µm
_1132_,33.43µm
net1228,33.39µm
_1808_,33.38µm
_0922_,33.375µm
u_core.enc_busy,33.37µm
net1428,33.325µm
u_core.mem_wr_data\[18\],33.31µm
_1365_,33.24µm
_1878_,33.12µm
net1289,33.025µm
_1593_,32.98µm
net1204,32.84µm
_1586_,32.76µm
_1386_,32.64µm
_1396_,32.64µm
_0802_,32.615µm
_1155_,32.605µm
_0975_,32.425µm
_1198_,32.42µm
_1725_,32.415µm
_1437_,32.3µm
_1929_,32.29µm
net682,32.29µm
net686,32.28µm
_0943_,32.16µm
_1390_,32.16µm
_1915_,32.1µm
u_core.rec_error,32.065µm
net981,32.035µm
u_core.pulse_width\[2\],31.995µm
net1336,31.95µm
_1675_,31.86µm
net606,31.83µm
net1384,31.82µm
_1021_,31.795µm
u_core.u_nec_decoder.addr\[6\],31.795µm
_0812_,31.75µm
_0823_,31.705µm
u_core.hb_counter_q\[14\],31.58µm
u_core.u_replay_fsm.word_q\[16\],31.51µm
_1064_,31.47µm
_0822_,31.46µm
net563,31.44µm
u_core.u_output_formatter.address_reg\[0\],31.375µm
net1353,31.235µm
net556,31.22µm
_0880_,31.21µm
u_core.u_nec_decoder.addr_inv\[5\],31.15µm
net667,31.145µm
net1560,31.145µm
net1393,31.095µm
_0866_,31.08µm
_1013_,30.985µm
u_core.u_nec_decoder.cmd_inv\[6\],30.96µm
_1157_,30.81µm
net565,30.735µm
_1963_,30.73µm
u_core.led_ok_cnt_q\[1\],30.63µm
_1458_,30.57µm
u_core.u_uart_tx.baud_cnt\[5\],30.515µm
_1496_,30.49µm
_1019_,30.43µm
net1023,30.415µm
net1206,30.4µm
_1667_,30.36µm
_1187_,30.3µm
_0984_,30.255µm
u_core.u_nec_decoder.since_valid_cnt\[15\],30.255µm
net1401,30.25µm
_1718_,30.145µm
u_core.u_nec_decoder.addr_inv\[3\],30.09µm
_1549_,30.02µm
u_core.pulse_width\[5\],30.005µm
net650,30.005µm
_0889_,29.94µm
_1759_,29.88µm
net1282,29.86µm
_0730_,29.855µm
_1578_,29.65µm
_0785_,29.59µm
net547,29.49µm
net696,29.49µm
net167,29.455µm
net1514,29.31µm
_1758_,29.28µm
_0877_,29.26µm
_0788_,29.17µm
_1301_,29.145µm
net1127,29.145µm
net1247,29.1µm
net905,29.005µm
_1072_,28.93µm
net713,28.875µm
_1457_,28.825µm
net316,28.81µm
u_core.u_nec_encoder.frame_word\[7\],28.8µm
u_core.u_recorder.wait_cnt_q\[17\],28.8µm
net549,28.8µm
_1192_,28.69µm
_0858_,28.68µm
_0807_,28.65µm
net703,28.645µm
net1114,28.64µm
net1502,28.605µm
net671,28.58µm
u_core.u_output_formatter.byte_idx\[2\],28.57µm
net801,28.435µm
_0990_,28.39µm
_0956_,28.29µm
_0907_,28.27µm
net1320,28.22µm
net684,28.14µm
_1085_,28.08µm
net998,28.04µm
u_core.u_ir_tx.div_cnt_q\[5\],28.03µm
_1543_,28.015µm
net1390,28.015µm
u_core.u_nec_decoder.addr_inv\[0\],27.975µm
u_core.mem_wr_data\[16\],27.9µm
net579,27.9µm
net677,27.855µm
u_core.pulse_width\[1\],27.85µm
u_core.dec_cmd_i\[5\],27.84µm
net1178,27.825µm
_1726_,27.795µm
net1181,27.72µm
net1553,27.67µm
u_core.record_hold_q,27.585µm
_0841_,27.54µm
net1569,27.54µm
u_core.u_output_formatter.uart_data\[6\],27.485µm
_1582_,27.475µm
net1380,27.46µm
u_core.u_nec_encoder.us_cnt_q\[5\],27.43µm
net1356,27.38µm
_0872_,27.375µm
net1405,27.37µm
_1745_,27.295µm
u_core.u_replay_fsm.word_q\[18\],27.265µm
_1538_,27.185µm
net1112,27.175µm
net805,27.165µm
_1709_,27.14µm
_0719_,27.12µm
_1858_,27.12µm
_1861_,27.12µm
_1685_,27µm
_1300_,26.995µm
u_core.u_replay_fsm.state_q\[1\],26.995µm
net1516,26.835µm
u_core.enc_payload\[20\],26.83µm
_0772_,26.7µm
net647,26.68µm
_0939_,26.61µm
net1597,26.61µm
net709,26.59µm
_0991_,26.545µm
_1162_,26.53µm
net1434,26.38µm
u_core.u_storage_bram.mem\[0\]\[14\],26.28µm
u_core.u_storage_bram.mem\[5\]\[14\],26.245µm
_0793_,26.23µm
_1324_,26.22µm
u_core.u_nec_encoder.frame_word\[15\],26.22µm
net1549,26.22µm
net627,26.17µm
u_core.u_output_formatter.byte_idx\[1\],26.06µm
net766,26.06µm
net795,26.05µm
_1018_,26.04µm
_1229_,26.04µm
net1002,25.94µm
_1193_,25.92µm
_0871_,25.88µm
net1169,25.87µm
_1059_,25.86µm
_1024_,25.825µm
_1346_,25.74µm
_1380_,25.7µm
_0818_,25.69µm
net1310,25.69µm
net1341,25.68µm
_0908_,25.64µm
_1348_,25.62µm
_1316_,25.57µm
u_core.u_storage_bram.mem\[3\]\[5\],25.57µm
net783,25.535µm
_0886_,25.525µm
_1635_,25.46µm
_0819_,25.365µm
_0739_,25.32µm
_0957_,25.32µm
_1263_,25.32µm
u_core.u_output_formatter.address_reg\[6\],25.27µm
_0965_,25.205µm
_1899_,25.2µm
_0985_,25.18µm
